token_1,ws,token_2,count
Comment,1_NL,Comment,3282
Comment,1_NL,package,492
package,1_SP,Identifier,2083
Identifier,0_SP,.,135330
.,0_SP,Identifier,146617
Identifier,0_SP,;,28148
;,1_NL,EOF,4
;,2_NL,import,2961
import,1_SP,Identifier,15630
;,1_NL,import,13795
;,2_NL,Comment,1543
Comment,1_NL,class,18
class,1_SP,Identifier,1797
Identifier,1_SP,{,3321
{,1_NL_2_ID,private,225
private,1_SP,final,1451
final,1_SP,Identifier,3785
Identifier,1_SP,Identifier,28188
;,1_NL,private,1566
private,1_SP,char,5
char,1_SP,Identifier,67
private,1_SP,static,946
static,1_SP,final,1144
final,1_SP,char,11
Identifier,1_SP,=,18381
=,1_SP,HexInteger,42
HexInteger,0_SP,;,96
;,2_SP,Comment,4
Comment,2_NL,Identifier,61
Identifier,0_SP,(,80351
(,0_SP,Identifier,42600
Identifier,0_SP,),31831
),1_SP,{,11900
{,1_NL_2_ID,this,301
this,0_SP,.,3563
=,1_SP,Identifier,11097
;,1_NL,Identifier,10000
(,0_SP,),31193
),0_SP,;,38576
;,1_NL_2_DD,},5959
},2_NL,Comment,1555
Comment,1_NL,Identifier,1563
{,1_NL_2_ID,Comment,463
Comment,1_NL,if,245
if,1_SP,(,6385
Identifier,1_SP,==,1823
==,1_SP,Identifier,573
{,1_NL_2_ID,return,1224
return,1_SP,Null,378
Null,0_SP,;,831
},1_NL,Comment,127
;,1_NL,if,1848
},1_NL,if,420
==,1_SP,String,158
String,1_SP,||,46
||,1_SP,Identifier,512
String,0_SP,),7698
;,1_NL,return,1348
return,1_SP,String,545
String,0_SP,;,1482
(,0_SP,!,764
!,0_SP,Identifier,981
),0_SP,),12827
},1_NL_2_DD,},1768
Comment,1_NL,return,119
return,1_SP,Identifier,7307
},1_NL,char,3
},2_NL,private,1221
static,1_SP,boolean,109
boolean,1_SP,Identifier,1809
(,0_SP,int,1097
int,1_SP,Identifier,3400
String,1_SP,<=,1
<=,1_SP,Identifier,33
Identifier,1_SP,&&,271
&&,1_SP,Identifier,690
Identifier,1_SP,<=,107
<=,1_SP,String,37
Comment,1_NL,private,342
private,1_SP,Identifier,1162
{,1_NL_2_ID,Identifier,3353
=,1_SP,new,3549
